"season","location_name","meanpercdiff","perclow","perchigh","perciqr","perc_median","meanabsolute","absolow","absohigh","absoiqr","median"
"A) 2021-2022","Massachusetts",-0.04760997240859,-0.333333333333333,0.257142857142857,0.140408163265306,-0.0522875816993464,-2.85714285714286,-27,10,7,-2
"A) 2021-2022","Michigan",-0.0100318755599182,-0.136363636363636,0.122137404580153,0.0573235414116687,0,-0.380952380952381,-12,16,6,0
"A) 2021-2022","Minnesota",-0.0673506860786273,-0.5,0.4,0.250334224598931,-0.0788690476190476,-1.0952380952381,-11,6,4,-1
"A) 2021-2022","Mississippi",-0.0257089317208365,-0.15625,0.148148148148148,0.0952380952380952,0,-0.857142857142857,-5,4,2,0
"A) 2021-2022","Missouri",-0.00412151020661106,-0.108108108108108,0.147540983606557,0.115029663810152,-0.025,-0.571428571428571,-6,9,4,-1
"A) 2021-2022","Montana",0.00813631075434481,-0.192307692307692,0.5,0.0506578947368421,0,-0.476190476190476,-5,2,1,0
"A) 2021-2022","Nebraska",0.0026897471478203,-0.5,1,0.0789473684210526,0,-0.714285714285714,-6,3,2,0
"A) 2021-2022","Nevada",-0.0904631785870229,-0.323076923076923,0.285714285714286,0.165848336061102,-0.107142857142857,-7.38095238095238,-23,3,13,-4
"A) 2021-2022","New Hampshire",0.0166666666666667,0,0.333333333333333,0,0,0.0476190476190476,0,1,0,0
"A) 2021-2022","New Jersey",0.0103076718595713,-0.108695652173913,0.205607476635514,0.0236220472440945,0,1.04761904761905,-10,22,1,0
"A) 2021-2022","New Mexico",0.00949413047636878,-0.0547945205479452,0.125,0.0192080378250591,0,0.238095238095238,-4,3,1,0
"A) 2021-2022","New York",-0.0119709479815989,-0.192307692307692,0.357142857142857,0.0826979472140763,-0.0192307692307692,-4,-39,12,7,-2
"A) 2021-2022","North Carolina",0.0287388315950449,-0.280701754385965,0.607142857142857,0.207575757575758,0,-0.142857142857143,-16,17,10,0
"A) 2021-2022","North Dakota",Inf,-0.75,Inf,0.325,0,0.19047619047619,-3,2,0,0
"A) 2021-2022","Ohio",-0.0128356275280533,-0.172413793103448,0.142857142857143,0.0395127748068925,0,-0.857142857142857,-9,4,3,0
"A) 2021-2022","Oklahoma",-0.0110942781067289,-0.146341463414634,0.125,0.0728900255754476,0,-0.619047619047619,-9,5,6,0
"A) 2021-2022","Oregon",0.114504010981565,-0.222222222222222,0.764705882352941,0.186789215686275,0.0714285714285714,1.33333333333333,-4,13,2,1
"A) 2021-2022","Pennsylvania",0.00844216541873581,-0.0350877192982456,0.0694444444444444,0.0169491525423729,0.00947867298578199,1.14285714285714,-4,8,2,1
"A) 2021-2022","Puerto Rico",0.00354411912610233,-0.2,0.241935483870968,0.116161616161616,0,0.0476190476190476,-9,15,4,0
"A) 2021-2022","Rhode Island",Inf,-0.8,Inf,0.5,-0.142857142857143,-0.714285714285714,-5,2,3,0
"A) 2021-2022","South Carolina",-0.00922380406673705,-0.2,0.227272727272727,0.159067882472138,-0.0333333333333333,-0.714285714285714,-9,5,4,-1
"A) 2021-2022","South Dakota",-0.0371155160628845,-0.666666666666667,0.5,0.0454545454545455,0,-0.142857142857143,-3,2,0,0
"A) 2021-2022","Tennessee",-0.0523720288290925,-0.365384615384615,0.222222222222222,0.0833333333333333,-0.0588235294117647,-2.80952380952381,-19,3,4,-1
"A) 2021-2022","Texas",-0.023807893175337,-0.152542372881356,0.0593220338983051,0.0487804878048781,0,-4.38095238095238,-20,7,8,0
"A) 2021-2022","US",-0.0214211471797828,-0.0475171232876712,0.00600505689001264,0.0222328637515579,-0.0209545983701979,-50.1428571428571,-157,19,57,-39
"A) 2021-2022","Utah",-0.0105263157894737,-0.2,0,0,0,-0.0952380952380952,-2,0,0,0
"A) 2021-2022","Vermont",-0.0166666666666667,-0.25,0,0,0,-0.0476190476190476,-1,0,0,0
"A) 2021-2022","Virginia",-0.00058539167015737,-0.125,0.2,0.131400966183575,0,-0.476190476190476,-9,8,5,0
"A) 2021-2022","Washington",-0.0512775764364645,-0.359550561797753,0.4,0.299242424242424,-0.0714285714285714,-5.38095238095238,-32,12,15,-2
"A) 2021-2022","West Virginia",-0.0256425533176233,-0.363636363636364,1,0.148148148148148,-0.0588235294117647,-2.33333333333333,-13,4,5,-1
"A) 2021-2022","Wisconsin",0.0097305110663432,-0.2,0.333333333333333,0.116923076923077,0,0.19047619047619,-6,8,3,0
"A) 2021-2022","Wyoming",0.1,0,1,0,0,0.19047619047619,0,2,0,0
"B) 2022-2023","Alabama",-0.00826665537039882,-0.3125,0.192307692307692,0.0667183330437928,0,-1.82352941176471,-27,25,3.5,0
"B) 2022-2023","Alaska",Inf,-0.5,Inf,0.1875,0,-0.794117647058823,-17,11,2,0
"B) 2022-2023","Arizona",-0.00811733826970714,-0.451612903225806,0.309859154929577,0.096286231884058,-0.00641025641025641,-4.17647058823529,-102,74,10.5,-0.5
"B) 2022-2023","Arkansas",Inf,-0.4,Inf,0.0545061632252399,0,-1.32352941176471,-22,18,3.75,0
"B) 2022-2023","California",-0.0144994986146317,-0.19672131147541,0.0917647058823529,0.0396641053125697,-0.00838622183668258,-2.38235294117647,-122,167,11.5,-1
"B) 2022-2023","Colorado",0.0391839357965006,-0.142857142857143,1,0.0331939851500593,0,1.32352941176471,-9,27,1,0
"B) 2022-2023","Connecticut",-0.050884151008379,-0.463768115942029,0.0769230769230769,0.0800364976069965,0,-7.88235294117647,-50,3,5,0
"B) 2022-2023","Delaware",Inf,-0.5,Inf,0,0,0.0294117647058824,-11,6,0,0
"B) 2022-2023","District of Columbia",0.0025165469068515,-0.25,0.5,0,0,-0.0294117647058824,-3,3,0,0
"B) 2022-2023","Florida",0.0429086775270206,-0.100719424460432,0.270462633451957,0.0933005354361295,0.0202193983579191,21.2058823529412,-22,152,25.25,5
"B) 2022-2023","Georgia",0.0498792927847781,-0.0833333333333333,0.64,0.10175971354941,0.0160240963855422,3.58823529411765,-15,32,8.75,1
"B) 2022-2023","Hawaii",0.0173360838683419,-0.571428571428571,1,0.0185185185185185,0,-0.0294117647058824,-8,7,0,0
"B) 2022-2023","Idaho",Inf,-0.0909090909090909,Inf,0,0,1.58823529411765,-20,55,0,0
