"report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
2022-02-12,"NE",26,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NH",11,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NJ",25,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NM",7,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NV",14,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NY",28,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"OH",26,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"OK",65,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"OR",2,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"PA",62,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"PR",21,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"RI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"SC",18,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"SD",19,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"TN",22,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"TX",173,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"UT",4,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"VA",38,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"VT",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"WA",8,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"WI",31,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"WV",5,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"WY",2,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"US",1239,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"AK",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"AL",20,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"AR",34,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"AZ",67,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"CA",18,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"CO",19,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"CT",3,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"DC",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"DE",3,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"FL",69,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"GA",47,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"HI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"IA",44,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"ID",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"IL",25,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"IN",58,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"KS",21,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"KY",20,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"LA",40,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MA",52,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MD",13,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"ME",4,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MI",55,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MN",35,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MO",62,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MS",29,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"MT",7,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NC",37,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"ND",5,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NE",36,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NH",7,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NJ",32,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NM",8,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NV",4,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"NY",29,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"OH",41,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"OK",87,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"OR",10,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"PA",94,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"PR",8,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"RI",1,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"SC",24,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"SD",13,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"TN",28,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"TX",284,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"UT",5,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"VA",36,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"VT",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"WA",13,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"WI",29,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"WV",16,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"WY",2,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-19,"US",1594,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-26,"AL",16,"Alabama",14,2022-09-12,-0.125,-2,"A) 2021-2022"
2022-02-26,"AK",1,"Alaska",1,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"AZ",72,"Arizona",72,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"AR",37,"Arkansas",42,2022-09-12,0.135135135135135,5,"A) 2021-2022"
2022-02-26,"CA",34,"California",34,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"CO",29,"Colorado",27,2022-09-12,-0.0689655172413793,-2,"A) 2021-2022"
2022-02-26,"CT",8,"Connecticut",7,2022-09-12,-0.125,-1,"A) 2021-2022"
2022-02-26,"DE",0,"Delaware",1,2022-09-12,Inf,1,"A) 2021-2022"
2022-02-26,"DC",0,"District of Columbia",0,2022-09-12,NA,0,"A) 2021-2022"
2022-02-26,"FL",67,"Florida",66,2022-09-12,-0.0149253731343284,-1,"A) 2021-2022"
2022-02-26,"GA",44,"Georgia",35,2022-09-12,-0.204545454545455,-9,"A) 2021-2022"
2022-02-26,"HI",0,"Hawaii",0,2022-09-12,NA,0,"A) 2021-2022"
2022-02-26,"ID",4,"Idaho",4,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"IL",31,"Illinois",26,2022-09-12,-0.161290322580645,-5,"A) 2021-2022"
2022-02-26,"IN",39,"Indiana",42,2022-09-12,0.0769230769230769,3,"A) 2021-2022"
2022-02-26,"IA",64,"Iowa",62,2022-09-12,-0.03125,-2,"A) 2021-2022"
2022-02-26,"KS",35,"Kansas",38,2022-09-12,0.0857142857142857,3,"A) 2021-2022"
2022-02-26,"KY",28,"Kentucky",28,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"LA",37,"Louisiana",36,2022-09-12,-0.027027027027027,-1,"A) 2021-2022"
2022-02-26,"ME",2,"Maine",2,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"MD",18,"Maryland",17,2022-09-12,-0.0555555555555556,-1,"A) 2021-2022"
2022-02-26,"MA",28,"Massachusetts",30,2022-09-12,0.0714285714285714,2,"A) 2021-2022"
2022-02-26,"MI",56,"Michigan",55,2022-09-12,-0.0178571428571429,-1,"A) 2021-2022"
2022-02-26,"MN",21,"Minnesota",19,2022-09-12,-0.0952380952380952,-2,"A) 2021-2022"
2022-02-26,"MS",27,"Mississippi",31,2022-09-12,0.148148148148148,4,"A) 2021-2022"
2022-02-26,"MO",57,"Missouri",57,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"MT",16,"Montana",15,2022-09-12,-0.0625,-1,"A) 2021-2022"
2022-02-26,"NE",40,"Nebraska",36,2022-09-12,-0.1,-4,"A) 2021-2022"
2022-02-26,"NV",7,"Nevada",9,2022-09-12,0.285714285714286,2,"A) 2021-2022"
2022-02-26,"NH",4,"New Hampshire",4,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"NJ",33,"New Jersey",35,2022-09-12,0.0606060606060606,2,"A) 2021-2022"
2022-02-26,"NM",3,"New Mexico",3,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"NY",28,"New York",38,2022-09-12,0.357142857142857,10,"A) 2021-2022"
2022-02-26,"NC",33,"North Carolina",36,2022-09-12,0.0909090909090909,3,"A) 2021-2022"
2022-02-26,"ND",0,"North Dakota",0,2022-09-12,NA,0,"A) 2021-2022"
2022-02-26,"OH",34,"Ohio",33,2022-09-12,-0.0294117647058824,-1,"A) 2021-2022"
2022-02-26,"OK",80,"Oklahoma",81,2022-09-12,0.0125,1,"A) 2021-2022"
2022-02-26,"OR",2,"Oregon",3,2022-09-12,0.5,1,"A) 2021-2022"
2022-02-26,"PA",83,"Pennsylvania",82,2022-09-12,-0.0120481927710843,-1,"A) 2021-2022"
2022-02-26,"PR",5,"Puerto Rico",5,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"RI",0,"Rhode Island",0,2022-09-12,NA,0,"A) 2021-2022"
2022-02-26,"SC",22,"South Carolina",27,2022-09-12,0.227272727272727,5,"A) 2021-2022"
2022-02-26,"SD",15,"South Dakota",15,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"TN",51,"Tennessee",47,2022-09-12,-0.0784313725490196,-4,"A) 2021-2022"
2022-02-26,"TX",367,"Texas",347,2022-09-12,-0.0544959128065395,-20,"A) 2021-2022"
2022-02-26,"US",1682,"US",1666,2022-09-12,-0.00951248513674197,-16,"A) 2021-2022"
2022-02-26,"UT",6,"Utah",6,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"VT",1,"Vermont",1,2022-09-12,0,0,"A) 2021-2022"
2022-02-26,"VA",46,"Virginia",41,2022-09-12,-0.108695652173913,-5,"A) 2021-2022"
2022-02-26,"WA",5,"Washington",7,2022-09-12,0.4,2,"A) 2021-2022"
2022-02-26,"WV",18,"West Virginia",17,2022-09-12,-0.0555555555555556,-1,"A) 2021-2022"
2022-02-26,"WI",25,"Wisconsin",27,2022-09-12,0.08,2,"A) 2021-2022"
2022-02-26,"WY",3,"Wyoming",5,2022-09-12,0.666666666666667,2,"A) 2021-2022"
