"","location_name","wk_end_date","value"
"263","Illinois",2022-12-17,767
"264","Illinois",2022-12-24,540
"265","Illinois",2022-12-31,565
"266","Illinois",2023-01-07,385
"267","Indiana",2022-09-03,22
"268","Indiana",2022-09-10,27
"269","Indiana",2022-09-17,26
"270","Indiana",2022-09-24,34
"271","Indiana",2022-10-01,33
"272","Indiana",2022-10-08,51
"273","Indiana",2022-10-15,57
"274","Indiana",2022-10-22,72
"275","Indiana",2022-10-29,102
"276","Indiana",2022-11-05,149
"277","Indiana",2022-11-12,141
"278","Indiana",2022-11-19,264
"279","Indiana",2022-11-26,505
"280","Indiana",2022-12-03,826
"281","Indiana",2022-12-10,851
"282","Indiana",2022-12-17,672
"283","Indiana",2022-12-24,578
"284","Indiana",2022-12-31,557
"285","Indiana",2023-01-07,340
"286","Iowa",2022-09-03,3
"287","Iowa",2022-09-10,0
"288","Iowa",2022-09-17,1
"289","Iowa",2022-09-24,7
"290","Iowa",2022-10-01,5
"291","Iowa",2022-10-08,5
"292","Iowa",2022-10-15,7
"293","Iowa",2022-10-22,10
"294","Iowa",2022-10-29,19
"295","Iowa",2022-11-05,16
"296","Iowa",2022-11-12,23
"297","Iowa",2022-11-19,37
"298","Iowa",2022-11-26,139
"299","Iowa",2022-12-03,201
"300","Iowa",2022-12-10,235
"301","Iowa",2022-12-17,357
"302","Iowa",2022-12-24,332
"303","Iowa",2022-12-31,293
"304","Iowa",2023-01-07,195
"305","Kansas",2022-09-03,3
"306","Kansas",2022-09-10,0
"307","Kansas",2022-09-17,0
"308","Kansas",2022-09-24,1
"309","Kansas",2022-10-01,5
"310","Kansas",2022-10-08,5
"311","Kansas",2022-10-15,7
"312","Kansas",2022-10-22,16
"313","Kansas",2022-10-29,20
"314","Kansas",2022-11-05,37
"315","Kansas",2022-11-12,49
"316","Kansas",2022-11-19,68
"317","Kansas",2022-11-26,187
"318","Kansas",2022-12-03,303
"319","Kansas",2022-12-10,253
"320","Kansas",2022-12-17,222
"321","Kansas",2022-12-24,177
"322","Kansas",2022-12-31,172
"323","Kansas",2023-01-07,119
"324","Kentucky",2022-09-03,6
"325","Kentucky",2022-09-10,19
"326","Kentucky",2022-09-17,3
"327","Kentucky",2022-09-24,11
"328","Kentucky",2022-10-01,3
"329","Kentucky",2022-10-08,10
"330","Kentucky",2022-10-15,23
"331","Kentucky",2022-10-22,15
"332","Kentucky",2022-10-29,66
"333","Kentucky",2022-11-05,139
"334","Kentucky",2022-11-12,227
"335","Kentucky",2022-11-19,313
"336","Kentucky",2022-11-26,603
"337","Kentucky",2022-12-03,807
"338","Kentucky",2022-12-10,691
"339","Kentucky",2022-12-17,418
"340","Kentucky",2022-12-24,266
"341","Kentucky",2022-12-31,232
"342","Kentucky",2023-01-07,127
"343","Louisiana",2022-09-03,6
"344","Louisiana",2022-09-10,19
"345","Louisiana",2022-09-17,18
"346","Louisiana",2022-09-24,23
"347","Louisiana",2022-10-01,38
"348","Louisiana",2022-10-08,43
"349","Louisiana",2022-10-15,82
"350","Louisiana",2022-10-22,97
"351","Louisiana",2022-10-29,188
"352","Louisiana",2022-11-05,170
"353","Louisiana",2022-11-12,167
"354","Louisiana",2022-11-19,177
"355","Louisiana",2022-11-26,240
"356","Louisiana",2022-12-03,294
"357","Louisiana",2022-12-10,253
"358","Louisiana",2022-12-17,145
"359","Louisiana",2022-12-24,141
"360","Louisiana",2022-12-31,193
"361","Louisiana",2023-01-07,148
"362","Maine",2022-09-03,0
"363","Maine",2022-09-10,0
"364","Maine",2022-09-17,0
"365","Maine",2022-09-24,0
"366","Maine",2022-10-01,1
"367","Maine",2022-10-08,0
"368","Maine",2022-10-15,0
"369","Maine",2022-10-22,0
"370","Maine",2022-10-29,3
"371","Maine",2022-11-05,3
"372","Maine",2022-11-12,11
"373","Maine",2022-11-19,14
"374","Maine",2022-11-26,34
"375","Maine",2022-12-03,110
"376","Maine",2022-12-10,120
"377","Maine",2022-12-17,192
"378","Maine",2022-12-24,208
"379","Maine",2022-12-31,171
"380","Maine",2023-01-07,101
"381","Maryland",2022-09-03,1
"382","Maryland",2022-09-10,3
"383","Maryland",2022-09-17,8
"384","Maryland",2022-09-24,3
"385","Maryland",2022-10-01,9
"386","Maryland",2022-10-08,21
"387","Maryland",2022-10-15,25
"388","Maryland",2022-10-22,49
"389","Maryland",2022-10-29,109
"390","Maryland",2022-11-05,165
"391","Maryland",2022-11-12,224
"392","Maryland",2022-11-19,218
"393","Maryland",2022-11-26,332
"394","Maryland",2022-12-03,405
"395","Maryland",2022-12-10,319
