"model","target_end_date","target","coverage95"
"CEPH-Rtrend_fluH",2024-03-16,"1 wk inc flu hosp","0.942307692307692"
"CEPH-Rtrend_fluH",2024-03-16,"2 wk inc flu hosp","0.884615384615385"
"CEPH-Rtrend_fluH",2024-03-16,"3 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-23,"0 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-23,"1 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-23,"2 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-23,"3 wk inc flu hosp","0.903846153846154"
"CEPH-Rtrend_fluH",2024-03-30,"0 wk inc flu hosp","0.884615384615385"
"CEPH-Rtrend_fluH",2024-03-30,"1 wk inc flu hosp","0.903846153846154"
"CEPH-Rtrend_fluH",2024-03-30,"2 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-03-30,"3 wk inc flu hosp","0.980769230769231"
"CEPH-Rtrend_fluH",2024-04-06,"0 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-04-06,"1 wk inc flu hosp","0.903846153846154"
"CEPH-Rtrend_fluH",2024-04-06,"2 wk inc flu hosp","0.846153846153846"
"CEPH-Rtrend_fluH",2024-04-06,"3 wk inc flu hosp","0.980769230769231"
"CEPH-Rtrend_fluH",2024-04-13,"0 wk inc flu hosp","0.923076923076923"
"CEPH-Rtrend_fluH",2024-04-13,"1 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-04-13,"2 wk inc flu hosp","0.942307692307692"
"CEPH-Rtrend_fluH",2024-04-13,"3 wk inc flu hosp","0.923076923076923"
"CEPH-Rtrend_fluH",2024-04-20,"0 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-04-20,"1 wk inc flu hosp","0.942307692307692"
"CEPH-Rtrend_fluH",2024-04-20,"2 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-04-20,"3 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-04-27,"0 wk inc flu hosp","0.980769230769231"
"CEPH-Rtrend_fluH",2024-04-27,"1 wk inc flu hosp","1"
"CEPH-Rtrend_fluH",2024-04-27,"2 wk inc flu hosp","0.980769230769231"
"CEPH-Rtrend_fluH",2024-04-27,"3 wk inc flu hosp","1"
"CMU-TimeSeries",2023-10-14,"0 wk inc flu hosp","0.942307692307692"
"CMU-TimeSeries",2023-10-21,"0 wk inc flu hosp","0.957446808510638"
