"model","location_name","wis","rel_wis","mae","below","Percent.Cov.50","Percent.Cov.95"
"Flusight-baseline","Oklahoma",20.98,1,32.07,0,0.583333333333333,0.972222222222222
"Flusight-baseline","Oregon",5.86,1,9.29,0,0.305555555555556,0.847222222222222
"Flusight-baseline","Pennsylvania",31.91,1,46.62,0,0.361111111111111,0.680555555555556
"Flusight-baseline","Puerto Rico",17.8,1,23.56,0,0.333333333333333,0.680555555555556
"Flusight-baseline","Rhode Island",2.16,1,3.26,0,0.527777777777778,0.777777777777778
"Flusight-baseline","South Carolina",5.36,1,8.39,0,0.652777777777778,1
"Flusight-baseline","South Dakota",3.14,1,4.12,0,0.916666666666667,0.986111111111111
"Flusight-baseline","Tennessee",8.04,1,11.65,0,0.708333333333333,0.986111111111111
"Flusight-baseline","Texas",92.27,1,123.81,0,0.430555555555556,0.680555555555556
"Flusight-baseline","Utah",3.37,1,5.21,0,0.541666666666667,0.833333333333333
"Flusight-baseline","Vermont",2.58,1,3.49,0,0.416666666666667,0.791666666666667
"Flusight-baseline","Virginia",6.93,1,10.24,0,0.444444444444444,0.791666666666667
"Flusight-baseline","Washington",10.78,1,15.18,0,0.152777777777778,0.472222222222222
"Flusight-baseline","West Virginia",9.13,1,14.28,0,0.402777777777778,0.916666666666667
"Flusight-baseline","Wisconsin",10.56,1,16.68,0,0.666666666666667,1
"Flusight-baseline","Wyoming",2.03,1,2.9,0,0.805555555555556,1
"Flusight-ensemble","Alabama",3.7,0.65,5.81,1,0.652777777777778,1
"Flusight-ensemble","Alaska",2,0.8,2.93,1,0.75,0.902777777777778
"Flusight-ensemble","Arizona",36.06,0.99,55.54,1,0.236111111111111,0.722222222222222
"Flusight-ensemble","Arkansas",9.49,0.71,14.64,1,0.458333333333333,0.888888888888889
"Flusight-ensemble","California",50.71,0.78,78.92,1,0.180555555555556,0.736111111111111
"Flusight-ensemble","Colorado",37.79,1.02,52.94,0,0.208333333333333,0.569444444444444
"Flusight-ensemble","Connecticut",12.79,0.94,19.61,1,0.277777777777778,0.666666666666667
"Flusight-ensemble","Delaware",5.13,0.95,7.14,1,0.486111111111111,0.819444444444444
"Flusight-ensemble","District of Columbia",1.05,0.99,1.67,1,0.694444444444444,1
"Flusight-ensemble","Florida",83.29,0.84,116.75,1,0.236111111111111,0.625
"Flusight-ensemble","Georgia",6.69,0.78,10.36,1,0.611111111111111,0.958333333333333
"Flusight-ensemble","Hawaii",2.01,0.84,3.07,1,0.583333333333333,0.861111111111111
"Flusight-ensemble","Idaho",3.52,1.08,4.64,0,0.625,0.861111111111111
"Flusight-ensemble","Illinois",24.24,1.02,33.79,0,0.375,0.638888888888889
"Flusight-ensemble","Indiana",15.53,0.84,24.54,1,0.555555555555556,0.902777777777778
"Flusight-ensemble","Iowa",5.17,0.74,8.32,1,0.597222222222222,1
"Flusight-ensemble","Kansas",4.53,0.81,7.29,1,0.625,0.986111111111111
"Flusight-ensemble","Kentucky",13.62,0.76,20.75,1,0.291666666666667,0.791666666666667
"Flusight-ensemble","Louisiana",5.23,0.83,8.26,1,0.597222222222222,0.986111111111111
"Flusight-ensemble","Maine",6.44,0.91,8.9,1,0.333333333333333,0.680555555555556
"Flusight-ensemble","Maryland",8.78,1,13.6,1,0.402777777777778,0.875
"Flusight-ensemble","Massachusetts",34.3,0.89,48.72,1,0.277777777777778,0.652777777777778
"Flusight-ensemble","Michigan",29.81,0.98,44.54,1,0.277777777777778,0.763888888888889
"Flusight-ensemble","Minnesota",5.21,0.77,8.54,1,0.597222222222222,0.986111111111111
"Flusight-ensemble","Mississippi",4.13,0.8,6.86,1,0.638888888888889,1
"Flusight-ensemble","Missouri",8.72,0.79,14.04,1,0.597222222222222,0.986111111111111
"Flusight-ensemble","Montana",4.2,0.93,6.39,1,0.472222222222222,0.875
"Flusight-ensemble","Nebraska",6.27,0.74,10.29,1,0.486111111111111,0.916666666666667
"Flusight-ensemble","Nevada",17.83,0.81,25.71,1,0.277777777777778,0.625
"Flusight-ensemble","New Hampshire",4.82,0.96,7.36,1,0.416666666666667,0.833333333333333
"Flusight-ensemble","New Jersey",17.66,0.72,25.92,1,0.444444444444444,0.861111111111111
"Flusight-ensemble","New Mexico",12.52,0.9,18.54,1,0.277777777777778,0.708333333333333
"Flusight-ensemble","New York",40.39,0.75,57.97,1,0.361111111111111,0.722222222222222
"Flusight-ensemble","North Carolina",10.49,0.84,17.07,1,0.430555555555556,0.944444444444444
"Flusight-ensemble","North Dakota",1.15,0.61,1.85,1,0.847222222222222,1
"Flusight-ensemble","Ohio",15.8,0.89,26.51,1,0.458333333333333,0.944444444444444
"Flusight-ensemble","Oklahoma",16.26,0.78,25.61,1,0.597222222222222,0.958333333333333
"Flusight-ensemble","Oregon",6.24,1.06,9.64,0,0.305555555555556,0.833333333333333
"Flusight-ensemble","Pennsylvania",26.33,0.83,39.19,1,0.416666666666667,0.833333333333333
"Flusight-ensemble","Puerto Rico",14.17,0.8,20.68,1,0.444444444444444,0.833333333333333
"Flusight-ensemble","Rhode Island",1.88,0.87,2.82,1,0.583333333333333,0.819444444444444
"Flusight-ensemble","South Carolina",4.65,0.88,7.42,1,0.597222222222222,1
"Flusight-ensemble","South Dakota",2.72,0.86,4.26,1,0.75,0.958333333333333
"Flusight-ensemble","Tennessee",5.76,0.72,8.69,1,0.625,0.986111111111111
"Flusight-ensemble","Texas",53.88,0.58,83.83,1,0.569444444444444,0.944444444444444
"Flusight-ensemble","Utah",3.12,0.93,4.92,1,0.458333333333333,0.847222222222222
"Flusight-ensemble","Vermont",2.14,0.83,2.96,1,0.652777777777778,0.791666666666667
"Flusight-ensemble","Virginia",5.66,0.81,8.53,1,0.625,0.986111111111111
"Flusight-ensemble","Washington",9.09,0.84,14.15,1,0.25,0.805555555555556
"Flusight-ensemble","West Virginia",7.52,0.83,11.75,1,0.444444444444444,0.875
"Flusight-ensemble","Wisconsin",8.86,0.84,14.26,1,0.472222222222222,0.958333333333333
"Flusight-ensemble","Wyoming",1.51,0.74,2.44,1,0.652777777777778,0.986111111111111
"GH-Flusight","Alabama",8.57,1.53,9.6,0,0.176470588235294,0.264705882352941
"GH-Flusight","Alaska",2.32,0.94,2.57,1,0.264705882352941,0.5
"GH-Flusight","Arizona",73.52,1.99,75.57,0,0,0
"GH-Flusight","Arkansas",23.37,1.8,24.21,0,0.0441176470588235,0.117647058823529
"GH-Flusight","California",125.47,1.82,128.13,0,0,0
"GH-Flusight","Colorado",88.62,2.38,89.69,0,0.0147058823529412,0.0294117647058824
"GH-Flusight","Connecticut",30.75,2.2,31.43,0,0.0147058823529412,0.0588235294117647
"GH-Flusight","Delaware",5.83,1.04,6.18,0,0.0882352941176471,0.220588235294118
"GH-Flusight","District of Columbia",2.53,2.46,2.71,0,0.0588235294117647,0.191176470588235
"GH-Flusight","Florida",161.25,1.51,163.62,0,0.0147058823529412,0.0147058823529412
"GH-Flusight","Georgia",12.29,1.41,13.41,0,0.0441176470588235,0.0882352941176471
"GH-Flusight","Hawaii",3.38,1.37,3.54,0,0.147058823529412,0.264705882352941
"GH-Flusight","Idaho",8.12,2.69,8.44,0,0.0147058823529412,0.0147058823529412
"GH-Flusight","Illinois",54.99,2.4,56.04,0,0.0147058823529412,0.0588235294117647
"GH-Flusight","Indiana",49.54,2.79,50.85,0,0.0294117647058824,0.0735294117647059
"GH-Flusight","Iowa",12.38,1.92,12.97,0,0.0735294117647059,0.176470588235294
"GH-Flusight","Kansas",13.91,2.54,14.63,0,0.0441176470588235,0.161764705882353
"GH-Flusight","Kentucky",33.97,1.91,34.85,0,0,0.0147058823529412
"GH-Flusight","Louisiana",13.69,2.22,14.65,0,0.0588235294117647,0.0882352941176471
"GH-Flusight","Maine",12.5,1.7,12.93,0,0.0147058823529412,0.0147058823529412
"GH-Flusight","Maryland",18.84,2.11,19.74,0,0,0.0441176470588235
"GH-Flusight","Massachusetts",67.01,1.69,68.07,0,0,0.0441176470588235
"GH-Flusight","Michigan",79.02,2.58,80.47,0,0,0.0147058823529412
"GH-Flusight","Minnesota",10.34,1.52,11.37,0,0.0441176470588235,0.147058823529412
"GH-Flusight","Mississippi",7.23,1.4,8.15,0,0.0588235294117647,0.235294117647059
"GH-Flusight","Missouri",30.34,2.77,31.49,0,0.0294117647058824,0.102941176470588
"GH-Flusight","Montana",6.13,1.36,6.54,0,0.0588235294117647,0.176470588235294
"GH-Flusight","Nebraska",14.09,1.73,14.79,0,0.0441176470588235,0.176470588235294
"GH-Flusight","Nevada",33.47,1.49,34.56,0,0.0147058823529412,0.0294117647058824
"GH-Flusight","New Hampshire",9.56,1.88,10.01,0,0.0441176470588235,0.102941176470588
"GH-Flusight","New Jersey",30.52,1.21,31.88,0,0.0882352941176471,0.117647058823529
"GH-Flusight","New Mexico",28.85,2.08,29.62,0,0.0147058823529412,0.0294117647058824
"GH-Flusight","New York",88.37,1.61,90.03,0,0,0.0441176470588235
