"model","target_end_date","target","season","abs_WIS","log_WIS"
"CU-ensemble",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",31.0346153846154,1.49184636749573
"CU-ensemble",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",31.3617307692308,1.49640002221345
"CU-ensemble",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",36.2569230769231,1.55939094517003
"CU-ensemble",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",14.2536538461538,1.15392620762982
"CU-ensemble",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",11.0367307692308,1.04284044847055
"CU-ensemble",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",25.2473076923077,1.4022150728818
"CU-ensemble",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",32.1276923076923,1.5068795318376
"CU-ensemble",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",35.9282692307692,1.55543629648016
"CU-ensemble",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",83.2471153846154,1.92036919359879
"CU-ensemble",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",53.9790384615385,1.73222514412255
"CU-ensemble",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",116.568846153846,2.06658249766742
"CU-ensemble",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",129.776538461538,2.11319618601089
"CU-ensemble",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",224.495769230769,2.35120816085362
"CU-ensemble",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",79.9846153846154,1.90300646079072
"CU-ensemble",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",277.274615384615,2.44291011154319
"CU-ensemble",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",55.9938461538462,1.74814029971543
"CU-ensemble",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",228.677884615385,2.35922416612001
"CU-ensemble",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",62.3380769230769,1.7947534005302
"CU-ensemble",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",206.193653846154,2.3142752945944
"CU-ensemble",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",57.8640384615385,1.76240874075953
"CU-ensemble",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",297.323076923077,2.47322861856048
"CU-ensemble",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",169.396923076923,2.22890551754811
"CU-ensemble",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",72.9263461538462,1.86288445454785
"CU-ensemble",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",166.959807692308,2.22261193582849
"CU-ensemble",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",57.1994230769231,1.75739164844735
"CU-ensemble",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",210.572307692308,2.32340125665386
"CU-ensemble",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",14.7019230769231,1.16737414611354
"CU-ensemble",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",177.347115384615,2.24882412890758
"CU-ensemble",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",9.26,0.966610986681934
