"","model","target_end_date","target","season","abs_WIS","log_WIS"
"131","Flusight-ensemble",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",148.489540133779,2.17169586225812
"132","Flusight-ensemble",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",119.705058528428,2.07811250332674
"133","Flusight-ensemble",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",240.950760869565,2.38192830204595
"134","Flusight-ensemble",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",79.1733361204013,1.89857894515641
"135","Flusight-ensemble",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",308.322725752508,2.48900553674457
"136","Flusight-ensemble",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",108.092282608696,2.03379468803192
"137","Flusight-ensemble",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",217.320785953177,2.33710126701561
"138","Flusight-ensemble",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",61.2289548494983,1.78695684628908
"139","Flusight-ensemble",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",153.485752508361,2.18606806779902
"140","Flusight-ensemble",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",41.1379347826087,1.61424248534047
"141","Flusight-ensemble",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",132.381956521739,2.12182879539787
"142","Flusight-ensemble",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",31.7476839464883,1.5017120481808
"143","Flusight-ensemble",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",245.837316053512,2.39064780583312
"144","Flusight-ensemble",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",76.6541387959866,1.88453560873681
"145","Flusight-ensemble",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",109.812867892977,2.0406532338069
"146","Flusight-ensemble",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",73.1575418060201,1.86425910415789
"147","Flusight-ensemble",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",135.034774247492,2.13044562271025
"148","Flusight-ensemble",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",17.6966638795987,1.24789140222396
"149","Flusight-ensemble",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",109.7275,2.04031548447109
"150","Flusight-ensemble",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",10.0003511705686,1.00001525087623
"151","Flusight-ensemble",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",161.234607023411,2.2074582634382
"152","Flusight-ensemble",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",8.19795986622074,0.91370578786173
"153","Flusight-ensemble",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",75.5167224080268,1.87804313236261
"154","Flusight-ensemble",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",7.11385451505017,0.852104979213975
"155","Flusight-ensemble",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",16.6371237458194,1.22107824687719
"156","Flusight-ensemble",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",6.94756688963211,0.841832736760425
"157","Flusight-ensemble",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",10.778127090301,1.0325433002742
"158","Flusight-ensemble",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",5.73946488294314,0.758871402987099
"159","Flusight-ensemble",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",8.91778428093646,0.950256962661262
"160","Flusight-ensemble",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",4.77315217391304,0.678805280424745
"161","Flusight-ensemble",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",9.25005016722408,0.966144088121682
"162","Flusight-ensemble",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",4.40678929765886,0.644122286032574
"163","Flusight-ensemble",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",8.21771739130435,0.91475120172173
"164","Flusight-ensemble",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",4.68926421404682,0.671104703515101
"165","Flusight-ensemble",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",6.97141304347826,0.84332081465291
"166","Flusight-ensemble",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",4.20086120401338,0.623338332733687
"167","Flusight-ensemble",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",6.47022575250836,0.810919433892538
"168","Flusight-ensemble",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",3.7977508361204,0.579526468024044
"169","Flusight-ensemble",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",6.159372909699,0.789536498573423
"170","Flusight-ensemble",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",3.99564381270903,0.601586766573557
"171","Flusight-ensemble",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",5.11989130434783,0.709260740971332
"172","Flusight-ensemble",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",3.73545150501672,0.572343102613625
"173","Flusight-ensemble",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",5.61763377926421,0.749553423575268
"174","Flusight-ensemble",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",4.78044314381271,0.679468157279913
"175","Flusight-ensemble",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",4.39994147157191,0.643446899499275
"176","Flusight-ensemble",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",4.37346153846154,0.640825311561663
