"model","location_name","relative_WIS","season"
"Flusight-baseline","Nebraska",1,"2021-2022"
"Flusight-baseline","Nevada",1,"2021-2022"
"Flusight-baseline","New Hampshire",1,"2021-2022"
"Flusight-baseline","New Jersey",1,"2021-2022"
"Flusight-baseline","New Mexico",1,"2021-2022"
"Flusight-baseline","New York",1,"2021-2022"
"Flusight-baseline","North Carolina",1,"2021-2022"
"Flusight-baseline","North Dakota",1,"2021-2022"
"Flusight-baseline","Ohio",1,"2021-2022"
"Flusight-baseline","Oklahoma",1,"2021-2022"
"Flusight-baseline","Oregon",1,"2021-2022"
"Flusight-baseline","Pennsylvania",1,"2021-2022"
"Flusight-baseline","Puerto Rico",1,"2021-2022"
"Flusight-baseline","Rhode Island",1,"2021-2022"
"Flusight-baseline","South Carolina",1,"2021-2022"
"Flusight-baseline","South Dakota",1,"2021-2022"
"Flusight-baseline","Tennessee",1,"2021-2022"
"Flusight-baseline","Texas",1,"2021-2022"
"Flusight-baseline","Utah",1,"2021-2022"
"Flusight-baseline","Vermont",1,"2021-2022"
"Flusight-baseline","Virginia",1,"2021-2022"
"Flusight-baseline","Washington",1,"2021-2022"
"Flusight-baseline","West Virginia",1,"2021-2022"
"Flusight-baseline","Wisconsin",1,"2021-2022"
"Flusight-baseline","Wyoming",1,"2021-2022"
"Flusight-ensemble","Alabama",0.652104626414725,"2021-2022"
"Flusight-ensemble","Alaska",0.777028647192406,"2021-2022"
"Flusight-ensemble","Arizona",0.977139049727214,"2021-2022"
"Flusight-ensemble","Arkansas",0.70887628689242,"2021-2022"
"Flusight-ensemble","California",0.770161748556293,"2021-2022"
"Flusight-ensemble","Colorado",1.02154713312945,"2021-2022"
"Flusight-ensemble","Connecticut",0.931119904375086,"2021-2022"
"Flusight-ensemble","Delaware",0.945756278167341,"2021-2022"
"Flusight-ensemble","District of Columbia",0.990354138468655,"2021-2022"
"Flusight-ensemble","Florida",0.82024449862047,"2021-2022"
"Flusight-ensemble","Georgia",0.787521962619479,"2021-2022"
"Flusight-ensemble","Hawaii",0.826812210566109,"2021-2022"
"Flusight-ensemble","Idaho",1.06491960587068,"2021-2022"
"Flusight-ensemble","Illinois",1.01770795615559,"2021-2022"
"Flusight-ensemble","Indiana",0.834319217539308,"2021-2022"
"Flusight-ensemble","Iowa",0.738722601240848,"2021-2022"
"Flusight-ensemble","Kansas",0.807212754307892,"2021-2022"
"Flusight-ensemble","Kentucky",0.761298292477393,"2021-2022"
"Flusight-ensemble","Louisiana",0.828794552889039,"2021-2022"
"Flusight-ensemble","Maine",0.904015534822878,"2021-2022"
"Flusight-ensemble","Maryland",0.990276144950557,"2021-2022"
"Flusight-ensemble","Massachusetts",0.883089642151825,"2021-2022"
"Flusight-ensemble","Michigan",0.976660576751134,"2021-2022"
"Flusight-ensemble","Minnesota",0.766346100849331,"2021-2022"
"Flusight-ensemble","Mississippi",0.799738014760061,"2021-2022"
"Flusight-ensemble","Missouri",0.790206049829273,"2021-2022"
"Flusight-ensemble","Montana",0.930526225633861,"2021-2022"
"Flusight-ensemble","Nebraska",0.737048180152058,"2021-2022"
"Flusight-ensemble","Nevada",0.803906809762642,"2021-2022"
"Flusight-ensemble","New Hampshire",0.962990105823619,"2021-2022"
"Flusight-ensemble","New Jersey",0.709994630119108,"2021-2022"
"Flusight-ensemble","New Mexico",0.89476955830876,"2021-2022"
"Flusight-ensemble","New York",0.745024566514393,"2021-2022"
"Flusight-ensemble","North Carolina",0.838624393545767,"2021-2022"
"Flusight-ensemble","North Dakota",0.609149807429813,"2021-2022"
"Flusight-ensemble","Ohio",0.878736505199141,"2021-2022"
"Flusight-ensemble","Oklahoma",0.774926673345765,"2021-2022"
"Flusight-ensemble","Oregon",1.0646544086438,"2021-2022"
"Flusight-ensemble","Pennsylvania",0.825244849706544,"2021-2022"
"Flusight-ensemble","Puerto Rico",0.79592029906679,"2021-2022"
"Flusight-ensemble","Rhode Island",0.873315333684364,"2021-2022"
"Flusight-ensemble","South Carolina",0.867430943176969,"2021-2022"
"Flusight-ensemble","South Dakota",0.86706822519084,"2021-2022"
"Flusight-ensemble","Tennessee",0.716606052417251,"2021-2022"
"Flusight-ensemble","Texas",0.583894681298787,"2021-2022"
"Flusight-ensemble","Utah",0.926188095929139,"2021-2022"
"Flusight-ensemble","Vermont",0.828984272209242,"2021-2022"
"Flusight-ensemble","Virginia",0.815851505987114,"2021-2022"
"Flusight-ensemble","Washington",0.843166646400267,"2021-2022"
"Flusight-ensemble","West Virginia",0.823707541197879,"2021-2022"
"Flusight-ensemble","Wisconsin",0.838858248901877,"2021-2022"
"Flusight-ensemble","Wyoming",0.74410979953069,"2021-2022"
"GH-Flusight","Alabama",1.54833273852217,"2021-2022"
"GH-Flusight","Alaska",0.870576585194675,"2021-2022"
"GH-Flusight","Arizona",1.94217760897394,"2021-2022"
"GH-Flusight","Arkansas",1.79079382512422,"2021-2022"
"GH-Flusight","California",1.82363763489463,"2021-2022"
"GH-Flusight","Colorado",2.39891374196716,"2021-2022"
"GH-Flusight","Connecticut",2.18345783144017,"2021-2022"
"GH-Flusight","Delaware",1.04113155134653,"2021-2022"
"GH-Flusight","District of Columbia",2.49779674411253,"2021-2022"
"GH-Flusight","Florida",1.51065931852312,"2021-2022"
"GH-Flusight","Georgia",1.42733550523432,"2021-2022"
"GH-Flusight","Hawaii",1.32435591620966,"2021-2022"
"GH-Flusight","Idaho",2.8286768899027,"2021-2022"
"GH-Flusight","Illinois",2.39668602946668,"2021-2022"
"GH-Flusight","Indiana",2.94991837517874,"2021-2022"
"GH-Flusight","Iowa",1.80912595980744,"2021-2022"
"GH-Flusight","Kansas",2.45371983248795,"2021-2022"
"GH-Flusight","Kentucky",1.86443121016896,"2021-2022"
"GH-Flusight","Louisiana",2.15885832268888,"2021-2022"
"GH-Flusight","Maine",1.67838068706189,"2021-2022"
"GH-Flusight","Maryland",2.07869510208143,"2021-2022"
"GH-Flusight","Massachusetts",1.67092210611969,"2021-2022"
"GH-Flusight","Michigan",2.71306740287198,"2021-2022"
"GH-Flusight","Minnesota",1.54540545706504,"2021-2022"
"GH-Flusight","Mississippi",1.39490854214853,"2021-2022"
"GH-Flusight","Missouri",2.82401341040628,"2021-2022"
"GH-Flusight","Montana",1.36551560193535,"2021-2022"
"GH-Flusight","Nebraska",1.6684374444188,"2021-2022"
"GH-Flusight","Nevada",1.52857418168015,"2021-2022"
"GH-Flusight","New Hampshire",1.89006591366865,"2021-2022"
